Number of points: 232050
SW:(40.700000 , -74.000000)
Partition  419000000 : [   0,     1]
Partition  619000000 : [   0,     0]
Partition  499000000 : [   0,     2]
Partition  649000000 : [   0,     1]
Partition  659000000 : [   0,     0]
Partition  669000000 : [   0,     0]
Partition  679000000 : [   0,     0]
Partition  689000000 : [   0,     0]
Partition  699000000 : [   0,     0]
Partition  409000000 : [   0,     2]
Partition  329000000 : [   0,     1]
Partition  379000000 : [   0,     0]
Partition  369000000 : [   0,     0]
Partition  429000000 : [   0,     1]
Partition  489000000 : [   0,     1]
Partition  678000000 : [   0,     0]
Partition  509000000 : [   0,     0]
Partition  518000000 : [   0,     3]
Partition  349000000 : [   0,     1]
Partition  629000000 : [   0,     0]
Partition  639000000 : [   0,     1]
Partition  399000000 : [   0,     4]
Partition  529000000 : [   0,     1]
Partition  100000000 : [   0,    13]
Partition  749000000 : [   0,     0]
Partition  110000000 : [   1,    28]
Partition  120000000 : [   1,    13]
Partition  140000000 : [   0,     2]
Partition   10000000 : [   1,    14]
Partition   89000000 : [   1,    19]
Partition  170000000 : [   0,     2]
Partition  180000000 : [   0,     2]
Partition  190000000 : [   1,    10]
Partition   20000000 : [   1,    35]
Partition  439000000 : [   0,     5]
Partition  220000000 : [   0,     9]
Partition  230000000 : [   0,     7]
Partition  210000000 : [   1,    10]
Partition  539000000 : [   0,     4]
Partition   60000000 : [   0,     5]
Partition   70000000 : [   0,     9]
Partition  250000000 : [   0,     5]
Partition  719000000 : [   0,     0]
Partition  290000000 : [   0,     1]
Partition  729000000 : [   0,     0]
Partition  280000000 : [   0,     2]
Partition  739000000 : [   0,     0]
Partition  160000000 : [   0,     1]
Partition  709000000 : [   0,     0]
Partition  200000000 : [   2,    19]
Partition  370000000 : [   0,     0]
Partition  300000000 : [   0,     0]
Partition  390000000 : [   0,     0]
Partition  400000000 : [   0,     0]
Partition  270000000 : [   0,     2]
Partition   40000000 : [   1,    34]
Partition  420000000 : [   0,     5]
Partition  430000000 : [   0,     1]
Partition  440000000 : [   0,     0]
Partition   80000000 : [   1,    43]
Partition  470000000 : [   0,     3]
Partition  480000000 : [   0,     4]
Partition  490000000 : [   0,     2]
Partition  460000000 : [   1,     6]
Partition   30000000 : [   1,    60]
Partition  360000000 : [   0,     0]
Partition  380000000 : [   0,     0]
Partition  540000000 : [   0,     1]
Partition  310000000 : [   0,     0]
Partition  560000000 : [   0,     0]
Partition  320000000 : [   0,     0]
Partition  580000000 : [   0,     0]
Partition  590000000 : [   0,     0]
Partition  600000000 : [   0,     1]
Partition  610000000 : [   0,     1]
Partition  620000000 : [   0,     1]
Partition  630000000 : [   0,     0]
Partition  130000000 : [   0,     1]
Partition  479000000 : [   0,     0]
Partition  500000000 : [   0,     1]
Partition  330000000 : [   0,     0]
Partition  510000000 : [   0,     1]
Partition  520000000 : [   0,     7]
Partition  150000000 : [   0,     2]
Partition  530000000 : [   0,     7]
Partition  550000000 : [   0,     0]
Partition  410000000 : [   0,     2]
Partition  570000000 : [   0,     0]
Partition  450000000 : [   1,     9]
Partition   90000000 : [   1,    36]
Partition  549000000 : [   0,     0]
Partition  350000000 : [   0,     0]
Partition  240000000 : [   1,     9]
